,frame pair,Similarity (Human),gt cosine similarity,Similarity (VQA-based),GPV VQA similarity (old),GPV VQA cosine similarity,Similarity (Lavis-VQA-based),Lavis VQA cosine similarity,resnet-50 feature similarity,Similarity (Feature-based),alexnet feature similarity,vgg16-bn feature similarity,Similarity (Pixel-level)
0,"frame-(0, 1)",1.0,0.9999999403953552,0.7974683544303798,0.770114942528736,0.8063241243362427,0.9240506329113924,0.9153348207473755,0.8816981315612793,0.8824754953384399,0.8678252696990967,0.9544956684112549,0.8894525978831073
1,"frame-(1, 2)",0.9873417721518988,0.9660917520523071,0.8227848101265823,0.758620689655172,0.8480265140533447,0.810126582278481,0.7951465845108032,0.8393357396125793,0.7942195534706116,0.7512297630310059,0.8537085056304932,0.8286647338132427
2,"frame-(2, 3)",0.9873417721518988,0.9660917520523071,0.8227848101265823,0.758620689655172,0.8428705930709839,0.8481012658227848,0.8432739973068237,0.8479912877082825,0.8376801013946533,0.7661751508712769,0.8915818333625793,0.8200798944506077
3,"frame-(3, 4)",0.9873417721518988,0.9660917520523071,0.7848101265822784,0.793103448275862,0.8288497924804688,0.8860759493670886,0.8733260035514832,0.8161866068840027,0.8072243332862854,0.6516596078872681,0.8433740139007568,0.8329729084725003
4,"frame-(4, 5)",0.8987341772151899,0.6943650245666504,0.6582278481012658,0.632183908045977,0.738735020160675,0.7088607594936709,0.6761233806610107,0.4817061424255371,0.43858346343040466,0.37215110659599304,0.5959070920944214,0.29641189831384085
5,"frame-(5, 6)",1.0,0.9999998211860657,0.8734177215189873,0.885057471264368,0.8924216032028198,0.8987341772151899,0.8959786295890808,0.9001378417015076,0.9028105139732361,0.9118953943252563,0.8768433332443237,0.9164845027636249
6,"frame-(6, 7)",1.0,0.9999998211860657,0.8227848101265823,0.781609195402299,0.8292683362960815,0.8860759493670886,0.8807710409164429,0.8657129406929016,0.844836950302124,0.8825197219848633,0.8629560470581055,0.8523919038481156
7,"frame-(7, 8)",0.9493670886075949,0.8486683368682861,0.759493670886076,0.735632183908046,0.8266397714614868,0.8481012658227848,0.8362419605255127,0.6607908606529236,0.6396059989929199,0.635113000869751,0.5980558395385742,0.2766586472198884
8,"frame-(8, 9)",1.0,0.9999998807907104,0.8481012658227848,0.862068965517241,0.8951436281204224,0.9367088607594937,0.9389159083366394,0.8169463276863098,0.8595929145812988,0.8408750295639038,0.8029516339302063,0.7756487102386267
9,"frame-(9, 10)",0.9873417721518988,0.963624119758606,0.8354430379746836,0.793103448275862,0.8716716766357422,0.8987341772151899,0.9001029133796692,0.8119549751281738,0.8505629301071167,0.8007739782333374,0.760148823261261,0.654980191679066
10,"frame-(10, 11)",0.9873417721518988,0.963624119758606,0.9113924050632911,0.839080459770115,0.9331390261650085,0.9240506329113924,0.9223309755325317,0.8999598622322083,0.9110869765281677,0.976273238658905,0.9355330467224121,0.8869690235185271
11,"frame-(11, 12)",1.0,0.9999998807907104,0.9240506329113924,0.908045977011494,0.9444445371627808,0.9873417721518988,0.987420916557312,0.977235734462738,0.9830423593521118,0.9799317121505737,0.9835326671600342,0.9338624905399989
12,"frame-(12, 13)",1.0,0.9999998807907104,0.9367088607594937,0.942528735632184,0.9541686177253723,0.9746835443037974,0.9743590950965881,0.9613932967185974,0.9776345491409302,0.961815595626831,0.9769455194473267,0.9274030158118344
13,"frame-(13, 14)",1.0,0.9999998807907104,0.8481012658227848,0.827586206896552,0.8929997086524963,0.9873417721518988,0.9870962500572205,0.9425448775291443,0.9845257997512817,0.9726571440696716,0.9846572875976562,0.9360389278666078
14,"frame-(14, 15)",1.0,0.9999998807907104,0.8481012658227848,0.896551724137931,0.8947368860244751,0.9873417721518988,0.9870962500572205,0.9883816838264465,0.9948439002037048,0.9967854022979736,0.9941201210021973,0.9399768049420008
15,"frame-(15, 16)",0.8481012658227848,0.5070925354957581,0.7215189873417721,0.701149425287356,0.7975279688835144,0.810126582278481,0.7925938963890076,0.4410329759120941,0.33851882815361023,0.6126092076301575,0.5125690698623657,0.3404925531342925
16,"frame-(16, 17)",1.0,1.0,0.7974683544303798,0.873563218390805,0.8349657654762268,0.9493670886075949,0.9374999403953552,0.7783538103103638,0.8624424338340759,0.886961042881012,0.8504561185836792,0.8775256013843508
17,"frame-(17, 18)",1.0,1.0,0.8354430379746836,0.839080459770115,0.8606629371643066,0.9620253164556962,0.9525009393692017,0.8710956573486328,0.9185206294059753,0.9131942987442017,0.8277121782302856,0.8550207561003867
18,"frame-(18, 19)",1.0,1.0,0.7848101265822784,0.758620689655172,0.8368863463401794,0.9367088607594937,0.9207508563995361,0.7370626926422119,0.8228179216384888,0.7578561305999756,0.7910606861114502,0.7891515247015551
19,"frame-(19, 20)",1.0,1.0,0.759493670886076,0.735632183908046,0.8101627230644226,0.9493670886075949,0.9354144334793091,0.8106632232666016,0.8574737310409546,0.8234317898750305,0.8327943682670593,0.8489731234025287
20,"frame-(20, 21)",0.9873417721518988,0.9486833214759827,0.7721518987341772,0.701149425287356,0.8240253925323486,0.9240506329113924,0.8970853090286255,0.7723479270935059,0.7591583728790283,0.6745678186416626,0.8127217292785645,0.7121355726131842
21,"frame-(21, 22)",0.9873417721518988,0.9428090453147888,0.6708860759493671,0.758620689655172,0.7522287368774414,0.7721518987341772,0.730296790599823,0.7044501304626465,0.728785514831543,0.504717230796814,0.6972249150276184,0.5755590966388459
22,"frame-(22, 23)",0.9746835443037974,0.8749999403953552,0.7721518987341772,0.724137931034483,0.8432208895683289,0.7721518987341772,0.7144345045089722,0.5484292507171631,0.6855125427246094,0.4314013719558716,0.592720627784729,0.6047999446780274
23,"frame-(23, 24)",0.9113924050632911,0.6396021246910095,0.8481012658227848,0.804597701149425,0.9086606502532959,0.759493670886076,0.6900655031204224,0.4468241333961487,0.48167848587036133,0.23574131727218628,0.4447577893733978,0.5067043608328047
24,"frame-(24, 25)",1.0,1.0,0.9240506329113924,0.873563218390805,0.9549840092658997,0.9746835443037974,0.9725974798202515,0.886465311050415,0.8890687227249146,0.9099529981613159,0.8583353757858276,0.6657189578550545
