Object,Frame-0,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11,Frame-12,Frame-13,Frame-14,Frame-15,Frame-16
Accent Paving,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0
*Accent Paving,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0
Barrier Post,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1
*Barrier Post,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1
Barrier Stump,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1
*Barrier Stump,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1
Bench,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1
*Bench,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1
Bicycle,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1
*Bicycle,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1
Bridge,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1
*Bridge,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1
Building,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0
*Building,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0
Bus,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
*Bus,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
Bus Stop,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
*Bus Stop,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
Car,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0
*Car,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0
Chair,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0
*Chair,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0
Closed Sidewalk,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1
*Closed Sidewalk,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1
Counter,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0
*Counter,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0
Crosswalk,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1
*Crosswalk,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1
Curb,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1
*Curb,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1
Dog,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
*Dog,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
Driveway(flat),1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
*Driveway(flat),1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
Elevator,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0
*Elevator,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0
Escalator,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1
*Escalator,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1
Fence,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0
*Fence,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0
Fire hydrant,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0
*Fire hydrant,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0
Flush Door,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1
*Flush Door,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1
Foldout Sign,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0
*Foldout Sign,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0
Fountain,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
*Fountain,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
Gate,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
*Gate,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
Guide dog,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
*Guide dog,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
Gutter,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0
*Gutter,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0
Hose,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
*Hose,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
Lamp Post,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0
*Lamp Post,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0
Mail box,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0
*Mail box,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0
Maintenance Vehicle,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1
*Maintenance Vehicle,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1
Motorcycle,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1
*Motorcycle,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1
Parallel Parking Spot,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1
*Parallel Parking Spot,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1
Paratransit vehicle,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1
*Paratransit vehicle,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1
Pedestrian Crossing,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1
*Pedestrian Crossing,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1
Person,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0
*Person,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0
Person with a disability,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0
*Person with a disability,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0
Pillar,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
*Pillar,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
Pole,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1
*Pole,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1
Puddle,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0
*Puddle,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0
Push button,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0
*Push button,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0
Railing,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0
*Railing,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0
Raised Entryway,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
*Raised Entryway,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
Retaining Wall,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1
*Retaining Wall,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1
Road,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0
*Road,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0
Road Divider,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0
*Road Divider,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0
Road Shoulder,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1
*Road Shoulder,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1
Roadside Parking,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
*Roadside Parking,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
Sidewalk,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0
*Sidewalk,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0
Sidewalk pits ,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1
*Sidewalk pits ,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1
Sign,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0
*Sign,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0
Sign Post,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
*Sign Post,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Sloped Driveway,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1
*Sloped Driveway,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1
Slopped Curb,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0
*Slopped Curb,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0
Snow,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1
*Snow,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1
Stairs,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1
*Stairs,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1
Stop sign,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1
*Stop sign,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1
Street Vendor,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1
*Street Vendor,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1
Table,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0
*Table,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0
Tactile Paving,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
*Tactile Paving,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
Traffic Signals,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1
*Traffic Signals,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1
Train Platform,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0
*Train Platform,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0
Train Tracks,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0
*Train Tracks,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0
Trash bins,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1
*Trash bins,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1
Trash on roads,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
*Trash on roads,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
Tree,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0
*Tree,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0
Turnstile,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1
*Turnstile,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1
Uncontrolled Crossing,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0
*Uncontrolled Crossing,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0
Uneven Stairs,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1
*Uneven Stairs,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1
Unpaved Road,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0
*Unpaved Road,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0
Unpaved Sidewalk,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0
*Unpaved Sidewalk,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0
Vegetation,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1
*Vegetation,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1
Wall,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1
*Wall,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1
Water leakage,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
*Water leakage,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
Water Pipes,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1
*Water Pipes,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1
Wet surface,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1
*Wet surface,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1
Wheelchair,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0
*Wheelchair,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0
White Cane,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0
*White Cane,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0
Yard Waste,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0
*Yard Waste,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0
