timestamp,video,model left,model right,winner model,see,not_see,score,comments,mode,F1-Base,F1-Shadow
2024-02-03::12:30:38,video-4-segment-4,Random,,,"Person,Road,White Cane,Sidewalk",,1,,single,0.6666666667,
2024-02-03::12:34:00,video-1-segment-5,GPV-1,,,"Stairs,Sidewalk,Car,Building,Crosswalk,Motorcycle",,6,,single,0.75,
2024-02-03::12:38:46,video-4-segment-1,GPT4V,,,"Trash on roads,Vegetation,Bus,Trash bins,Car",,8,,single,0.7058823529,
2024-02-03::12:42:23,video-4-segment-3,GT_N,,,"Person with a disability,Vegetation,Mail box,White Cane,Pole",,10,,single,1,
2024-02-03::12:45:06,video-6-segment-2,GPV-1@Shadow,,,"Pillar,Person with a disability,Stairs,Accent Paving,Railing",,0,,single,0.8734177215,0.8727272727
2024-02-03::12:50:41,video-15-segment-3,BLIP@shadow,,,"Bicycle,Wall,Vegetation,Car,Tree",,6,,single,0.9677419355,0.9696969697
2024-02-03::12:54:45,video-7-segment-2,Random,,,"White Cane,Accent Paving,Car,Road,Person,Vegetation",,1,,single,0.6101694915,
2024-02-03::12:58:53,video-14-segment-4,GPT4V,,,"Bench,Fence,Building,Person with a disability,Vegetation",,7,,single,0.7837837838,
2024-02-03::13:00:40,video-3-segment-2,GPV-1,,,"Person with a disability,Car,Sidewalk,Fence",,1,,single,0.8705882353,
2024-02-03::13:02:55,video-11-segment-1,GPT4V@Shadow,,,"Road,Trash bins,Person,Car,Push button",,8,,single,0.9801324503,0.9803921569
2024-02-03::13:06:06,video-15-segment-3,BLIP,,,"Car,Bicycle,Person with a disability,Vegetation,Tree,Road",,3,,single,0.9448818898,
2024-02-03::13:09:11,video-2-segment-1,BLIP@shadow,,,"Person,Crosswalk,Building,Vegetation,Car,Tree",,6,,single,0.8435013263,0.8441247002
2024-02-03::13:11:41,video-3-segment-2,BLIP@shadow,,,"Car,Person with a disability,Fence,Sidewalk,Road",,1,,single,0.8316831683,0.8349514563
2024-02-03::13:14:08,video-11-segment-1,BLIP,,,"Building,Bus,Car,Trash bins,Road,Person",,8,,single,0.9839572193,
2024-02-03::13:16:33,video-1-segment-4,GT_N,,,"Gate,Person with a disability,Car,Bicycle,Building,Vegetation",,9,,single,1,
2024-02-03::13:17:55,video-1-segment-5,Random,,,"Car,Stairs,Barrier Post,Motorcycle,Person with a disability",,0,,single,0.5853658537,
2024-02-03::13:19:13,video-4-segment-3,GT_N,,,"Person with a disability,Sidewalk,Pole,Fence,Vegetation,White Cane",,9,,single,1,
2024-02-03::13:20:33,video-12-segment-4,GPV-1@Shadow,,,"Building,Fence,Crosswalk,Person,Car,Tree",,0,,single,0.8266666667,0.8278688525
2024-02-03::13:21:38,video-6-segment-2,GPV-1@Shadow,,,"Person with a disability,Stairs,Railing,White Cane,Pillar",,0,,single,0.8441558442,0.8466257669
2024-02-03::13:23:39,video-16-segment-3,GPV-1,,,"Pole,Car,Building,Sign,Bicycle",,9,,single,0.9387755102,
2024-02-03::13:25:49,video-13-segment-2,BLIP,,,"White Cane,Person with a disability,Traffic Signals,Car,Pole",,7,,single,0.8609865471,
2024-02-03::13:28:38,video-12-segment-4,GPT4V@Shadow,,,"Car,Crosswalk,Tree,Fence,Person,Mail box",,2,,single,0.8638497653,0.8650793651
2024-02-03::13:30:12,video-3-segment-3,GPT4V,,,"Person,Tree,Car,Vegetation,Fence",,6,,single,0.9198606272,
2024-02-03::13:31:15,video-4-segment-1,GPT4V@Shadow,N/A,N/A,"Trash on roads,Fence,Car,Bus,Person with a disability,White Cane",,0,,single,0.8316831683,0.8345323741
