All_ones,All_zeroes,Switch_pattern_1,Switch_pattern_2,Switch_pattern_3,Switch_pattern_4,isolated_one,isolated_zero,island_ones_1,island_ones_2,island_ones_3,island_zeroes_1,island_zeroes_2,island_zeroes_3,Rating,Mean-Centered_rating,MC_with_MinMax,model,timing
14,5,0,0,0,3,34,28,3,6,0,3,2,3,0.8,-0.1166666666666665,0.4033898305084746,Random,411.0
36,3,0,0,2,0,8,12,1,0,0,5,0,0,0.9,-0.0166666666666666,0.4847457627118645,GPV-1,351.0
35,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9,-0.0166666666666666,0.4847457627118645,GPV-1@Shadow,169.0
39,0,0,0,0,1,3,8,1,0,0,0,0,0,0.9,-0.0166666666666666,0.4847457627118645,GPT4V@Shadow,262.0
207,4,0,0,1,0,8,30,1,0,1,2,1,0,1.0,0.0833333333333333,0.5661016949152543,GT_N,204.0
58,4,0,0,0,0,4,4,0,0,0,0,0,0,1.0,0.0833333333333333,0.5661016949152543,GT_N,182.0
9,15,0,0,0,0,9,7,1,0,0,1,1,0,0.8,-0.1166666666666665,0.4033898305084746,GPV-1,252.0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0833333333333333,0.5661016949152543,BLIP,145.0
41,8,0,0,1,0,14,16,1,3,0,2,1,1,1.0,0.0833333333333333,0.5661016949152543,BLIP,143.0
16,13,0,0,0,0,6,5,2,0,0,0,0,0,1.0,0.0833333333333333,0.5661016949152543,GPT4V,108.0
45,0,0,0,0,0,3,4,0,1,0,0,1,0,1.0,0.0833333333333333,0.5661016949152543,GPV-1@Shadow,103.0
16,0,0,0,0,0,2,14,0,0,0,2,1,0,0.9,-0.0166666666666666,0.4847457627118645,GPT4V,122.0
37,0,0,0,0,0,1,9,0,1,0,0,0,0,0.9,-0.0166666666666666,0.4847457627118645,GPT4V@Shadow,119.0
24,0,0,0,0,0,6,16,0,1,0,2,2,0,0.8,-0.1166666666666665,0.4033898305084746,BLIP@shadow,283.0
49,3,0,0,1,0,4,7,0,0,0,1,0,0,0.9,-0.0166666666666666,0.4847457627118645,GPV-1,232.0
2,2,1,0,1,0,8,11,4,0,1,3,1,0,0.8,-0.1166666666666665,0.4033898305084746,Random,227.0
90,1,0,0,0,0,3,3,0,0,0,0,0,0,0.9,-0.0166666666666666,0.4847457627118645,BLIP,116.0
28,5,0,0,1,0,8,5,1,0,0,1,0,0,1.0,0.0833333333333333,0.5661016949152543,GPT4V@Shadow,103.0
35,0,0,0,0,1,3,10,1,0,0,0,0,0,0.9,-0.0166666666666666,0.4847457627118645,BLIP@shadow,125.0
44,0,0,0,0,0,0,8,0,0,0,0,0,0,0.9,-0.0166666666666666,0.4847457627118645,BLIP@shadow,188.0
2,3,0,0,2,0,27,35,7,4,2,6,9,0,0.8,-0.1166666666666665,0.4033898305084746,Random,156.0
103,92,0,0,0,0,12,5,0,0,0,0,0,0,1.0,0.0833333333333333,0.5661016949152543,GT_N,73.0
28,0,0,1,0,0,2,4,0,0,0,0,1,0,1.0,0.0833333333333333,0.5661016949152543,GPT4V,113.0
30,0,0,0,1,0,2,5,1,0,0,1,0,0,0.9,-0.0166666666666666,0.4847457627118645,GPV-1@Shadow,116.0
19,0,0,0,0,0,2,18,0,0,0,0,0,0,0.3,-0.2166666666666667,0.3220338983050846,BLIP@shadow,343.0
90,77,1,1,2,2,26,49,3,2,3,2,3,0,0.7,0.1833333333333332,0.647457627118644,GPV-1,283.0
42,0,0,0,1,1,6,12,1,1,0,1,0,0,0.7,0.1833333333333332,0.647457627118644,GPT4V@Shadow,187.0
22,3,0,0,2,0,7,5,1,1,1,3,0,0,0.8,0.2833333333333333,0.728813559322034,BLIP,281.0
25,22,0,0,0,0,2,6,0,0,0,0,0,0,0.9,0.3833333333333333,0.8101694915254237,GT_N,216.0
6,0,1,1,1,0,18,31,4,4,2,8,3,0,0.5,-0.0166666666666667,0.4847457627118643,Random,456.0
33,0,0,0,1,0,2,16,0,0,0,1,0,0,0.3,-0.2166666666666667,0.3220338983050846,GPV-1@Shadow,302.0
48,35,0,0,0,0,1,0,0,0,0,0,0,0,0.5,-0.0166666666666667,0.4847457627118643,BLIP,416.0
42,8,0,0,1,0,10,14,0,0,0,3,0,0,0.8,0.2833333333333333,0.728813559322034,BLIP,136.0
36,13,0,0,3,1,12,23,3,0,2,6,1,0,0.8,0.2833333333333333,0.728813559322034,GPV-1,145.0
89,151,0,0,1,1,34,36,5,0,2,2,0,0,0.6,0.0833333333333332,0.5661016949152542,GPT4V,150.0
45,0,0,0,0,0,3,12,0,0,0,1,1,0,0.5,-0.0166666666666667,0.4847457627118643,GPV-1@Shadow,113.0
